measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Russian Federation,Female,40 to 44,Years,2007,36.50638783165421,36.519803413989024,36.493340241708864
Life expectancy,Russian Federation,Both,40 to 44,Years,2007,31.69418826266144,31.702997111431003,31.685360134576225
Life expectancy,Russian Federation,Male,45 to 49,Years,2007,23.211841504048753,23.22153331268489,23.20225563188836
Life expectancy,Russian Federation,Female,45 to 49,Years,2007,32.112592879239514,32.12522253091619,32.100409049525574
Life expectancy,Russian Federation,Both,45 to 49,Years,2007,27.830891276055088,27.839181918840662,27.82268348358017
Life expectancy,Russian Federation,Male,50 to 54,Years,2007,19.93433180855905,19.942933377225327,19.925792105784886
Life expectancy,Russian Federation,Female,50 to 54,Years,2007,27.826903444088497,27.838692041603576,27.815509165841732
Life expectancy,Russian Federation,Both,50 to 54,Years,2007,24.13817308709777,24.145843390527958,24.130606823232625
Life expectancy,Russian Federation,Male,55 to 59,Years,2007,16.973366402699533,16.980741213050347,16.965890970112646
Life expectancy,Russian Federation,Female,55 to 59,Years,2007,23.705252416991872,23.71619110448885,23.694702840150565
Life expectancy,Russian Federation,Both,55 to 59,Years,2007,20.68143988016845,20.688455510835713,20.674431021615188
Life expectancy,Russian Federation,Male,60 to 64,Years,2007,14.218779987083748,14.22522334198281,14.212324680373829
Life expectancy,Russian Federation,Female,60 to 64,Years,2007,19.773709189047054,19.783660166523475,19.76392341494919
Life expectancy,Russian Federation,Both,60 to 64,Years,2007,17.40669103362929,17.41306299046643,17.400321190724267
Life expectancy,Russian Federation,Male,65 to 69,Years,2007,11.768322650425885,11.773976388021905,11.762802915672614
Life expectancy,Russian Federation,Female,65 to 69,Years,2007,16.01573025414864,16.024775511904963,16.006835200108245
Life expectancy,Russian Federation,Both,65 to 69,Years,2007,14.344657064926588,14.350423287560993,14.338861932106795
Life expectancy,Russian Federation,Male,70 to 74,Years,2007,9.698450753186632,9.703182570104696,9.693910303779578
Life expectancy,Russian Federation,Female,70 to 74,Years,2007,12.581912665883616,12.589742267062855,12.574124131553884
Life expectancy,Russian Federation,Both,70 to 74,Years,2007,11.549780752212063,11.55509205496867,11.54462785256484
Life expectancy,Russian Federation,Male,75 to 79,Years,2007,7.754192473485594,7.757911902481338,7.750693597065547
Life expectancy,Russian Federation,Female,75 to 79,Years,2007,9.451282558314649,9.457837477754188,9.4449186227125
Life expectancy,Russian Federation,Both,75 to 79,Years,2007,8.92389630607078,8.928574233449435,8.9192179809722
Life expectancy,Russian Federation,Male,<1 year,Years,2007,61.112897529188736,61.130532956667814,61.0947279677585
Life expectancy,Russian Federation,Female,<1 year,Years,2007,73.81973516903358,73.84053143788702,73.79991741470228
Life expectancy,Russian Federation,Both,<1 year,Years,2007,67.27830668168325,67.29278197647294,67.26241482394195
Life expectancy,Russian Federation,Male,80 to 84,Years,2007,6.185640461289552,6.188163266730013,6.1832668636123165
Life expectancy,Russian Federation,Female,80 to 84,Years,2007,6.913347340526171,6.918218639793693,6.908444540279093
Life expectancy,Russian Federation,Both,80 to 84,Years,2007,6.737786880879412,6.741647150575743,6.734037750264026
Life expectancy,Russian Federation,Male,85 to 89,Years,2007,4.845655010339375,4.847258683289756,4.844102800123398
Life expectancy,Russian Federation,Female,85 to 89,Years,2007,4.882886615597407,4.88637392318102,4.879426216222859
Life expectancy,Russian Federation,Both,85 to 89,Years,2007,4.875262535138437,4.878179782646991,4.872393241049168
Life expectancy,Russian Federation,Male,90 to 94,Years,2007,3.499451797402589,3.5003182324758946,3.4986424747365006
Life expectancy,Russian Federation,Female,90 to 94,Years,2007,3.3934935925323657,3.395806544578325,3.391116216439578
Life expectancy,Russian Federation,Both,90 to 94,Years,2007,3.411724086127227,3.4136663053518794,3.4097459147217366
Life expectancy,Russian Federation,Male,1 to 4,Years,2016,65.91616087305992,65.94695069214485,65.88547904314841
Life expectancy,Russian Federation,Female,1 to 4,Years,2016,76.37824147677416,76.40727411193446,76.35200422928858
Life expectancy,Russian Federation,Both,1 to 4,Years,2016,71.23533602100618,71.25838578187987,71.21292047064274
Life expectancy,Russian Federation,Male,5 to 9,Years,2016,62.022402992403975,62.04383033850036,62.00182587727964
Life expectancy,Russian Federation,Female,5 to 9,Years,2016,72.47209315091615,72.49861403837411,72.44804007829906
