measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Montenegro,Male,<1 year,Years,2007,72.36163805757724,73.01803501354216,71.69062348255208
Life expectancy,Montenegro,Female,<1 year,Years,2007,77.70126850546961,78.17767144512443,77.22459099150691
Life expectancy,Montenegro,Both,<1 year,Years,2007,75.02856096894088,75.4436344863467,74.60769599118468
Life expectancy,Poland,Male,<1 year,Years,2007,71.04229763002647,71.09304055006885,70.9956758103076
Life expectancy,Poland,Female,<1 year,Years,2007,79.67699630688509,79.73947163799102,79.61186671848586
Life expectancy,Poland,Both,<1 year,Years,2007,75.35370911736761,75.3945173094681,75.31110153228205
Life expectancy,Romania,Male,<1 year,Years,2007,69.71511768331875,69.79103596747231,69.63989130356639
Life expectancy,Romania,Female,<1 year,Years,2007,76.80552878372406,76.88765562401277,76.72454214234797
Life expectancy,Romania,Both,<1 year,Years,2007,73.20473803755395,73.26348208436825,73.13951468856106
Life expectancy,Serbia,Male,<1 year,Years,2007,70.85847885696235,70.97969622369548,70.73352180108378
Life expectancy,Serbia,Female,<1 year,Years,2007,76.62629121482338,76.75828119868805,76.499939944803
Life expectancy,Serbia,Both,<1 year,Years,2007,73.68226785138738,73.78399872859502,73.57385553927327
Life expectancy,Slovakia,Male,<1 year,Years,2007,70.6398691864341,70.75440927350904,70.51932700559823
Life expectancy,Slovakia,Female,<1 year,Years,2007,78.40450047882975,78.5539380934063,78.25045967433869
Life expectancy,Slovakia,Both,<1 year,Years,2007,74.55224260449562,74.6525872748178,74.44584696516175
Life expectancy,Slovenia,Male,<1 year,Years,2007,74.52239858358195,74.71090201878872,74.31419718547643
Life expectancy,Slovenia,Female,<1 year,Years,2007,81.81829431755469,82.07004501944502,81.57264816318578
Life expectancy,Slovenia,Both,<1 year,Years,2007,78.23075471138574,78.38622024004496,78.06237829454409
Life expectancy,Belarus,Male,<1 year,Years,2007,64.44223443764415,64.58085274995949,64.299147577407
Life expectancy,Belarus,Female,<1 year,Years,2007,75.99325294088094,76.13652006739534,75.84721785808438
Life expectancy,Belarus,Both,<1 year,Years,2007,70.15210912621365,70.27447221853956,70.01958011415839
Life expectancy,Estonia,Male,<1 year,Years,2007,67.55086071278556,67.75853457326518,67.33408444906618
Life expectancy,Estonia,Female,<1 year,Years,2007,78.79448516467944,79.04824373561546,78.53182986780294
Life expectancy,Estonia,Both,<1 year,Years,2007,73.23217947970633,73.40116764353327,73.06717070900659
Life expectancy,Latvia,Male,<1 year,Years,2007,65.07315783366458,65.24235281795823,64.91048960017027
Life expectancy,Latvia,Female,<1 year,Years,2007,76.59463538759496,76.80816654603996,76.36988936775315
Life expectancy,Latvia,Both,<1 year,Years,2007,70.85154172194595,70.99611615000616,70.7185168675491
