measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Central Europe,Male,<1 year,Years,2008,71.16221436133173,71.19865024945584,71.12595606185704
Life expectancy,Central Europe,Female,<1 year,Years,2008,78.63909458168952,78.67381197051459,78.6014318504633
Life expectancy,Central Europe,Both,<1 year,Years,2008,74.87563456408171,74.90463449043737,74.84725459610105
Life expectancy,Eastern Europe,Male,<1 year,Years,2008,62.01259715736927,62.0304118659411,61.99449692770099
Life expectancy,Eastern Europe,Female,<1 year,Years,2008,74.22485718423982,74.24405753760277,74.20562878013246
Life expectancy,Eastern Europe,Both,<1 year,Years,2008,67.98251064200657,67.9957958311776,67.96795141259554
Life expectancy,Western Europe,Male,<1 year,Years,2008,77.87275834358806,77.89202177150499,77.85531331053181
Life expectancy,Western Europe,Female,<1 year,Years,2008,83.15150759578974,83.17248750281406,83.13177779969513
Life expectancy,Western Europe,Both,<1 year,Years,2008,80.56843474353063,80.58319722040095,80.55432316156597
Life expectancy,Central Europe,Male,<1 year,Years,2009,71.46605966387006,71.50509178274814,71.43129845246848
Life expectancy,Central Europe,Female,<1 year,Years,2009,78.8096087871323,78.84803882041194,78.77227766764345
Life expectancy,Central Europe,Both,<1 year,Years,2009,75.11894214454206,75.14737390106522,75.08946314892978
Life expectancy,Eastern Europe,Male,<1 year,Years,2009,63.297444664940116,63.314813662726024,63.27992783111677
Life expectancy,Eastern Europe,Female,<1 year,Years,2009,74.89382759966445,74.9134545761837,74.87513606517247
Life expectancy,Eastern Europe,Both,<1 year,Years,2009,69.04725509598684,69.06179509931252,69.03376891905693
Life expectancy,Western Europe,Male,<1 year,Years,2009,78.09255272490849,78.11058531640519,78.07426018216957
Life expectancy,Western Europe,Female,<1 year,Years,2009,83.31602253291858,83.33674440086241,83.29462375388344
Life expectancy,Western Europe,Both,<1 year,Years,2009,80.75789718815462,80.77226000629041,80.74345752674117
Life expectancy,Central Europe,Male,<1 year,Years,1999,68.54068354531877,68.5856045627275,68.49748112822763
Life expectancy,Central Europe,Female,<1 year,Years,1999,76.23318031757279,76.2716669876084,76.18667322363481
Life expectancy,Central Europe,Both,<1 year,Years,1999,72.33427159269067,72.37096270459618,72.29675721180281
Life expectancy,Eastern Europe,Male,<1 year,Years,1999,61.06953925332528,61.0990387927935,61.0392861641352
Life expectancy,Eastern Europe,Female,<1 year,Years,1999,73.10060378173246,73.12952644247271,73.07199164810363
Life expectancy,Eastern Europe,Both,<1 year,Years,1999,66.93874527046174,66.96122159833388,66.91684263445771
Life expectancy,Western Europe,Male,<1 year,Years,1999,75.22261124361542,75.24029687293975,75.20356722311253
Life expectancy,Western Europe,Female,<1 year,Years,1999,81.3131974591073,81.33363960912472,81.29230849241891
Life expectancy,Western Europe,Both,<1 year,Years,1999,78.32824320009007,78.34311529683995,78.31422591695764
Life expectancy,Western Europe,Male,<1 year,Years,2010,78.39450741813751,78.41237768274071,78.37556960636589
Life expectancy,Western Europe,Female,<1 year,Years,2010,83.54173009540607,83.56335231560728,83.52124294856299
Life expectancy,Western Europe,Both,<1 year,Years,2010,81.02087386025708,81.03434402576892,81.00646769453138
Life expectancy,Central Europe,Male,<1 year,Years,2002,69.75310886700599,69.79625459602897,69.70808822473428
Life expectancy,Central Europe,Female,<1 year,Years,2002,77.23025618939892,77.27685681704943,77.18553024409131
Life expectancy,Central Europe,Both,<1 year,Years,2002,73.46267264401996,73.49821962306854,73.42499871847524
Life expectancy,Eastern Europe,Male,<1 year,Years,2002,60.22498548284672,60.24534772414851,60.20277539822988
Life expectancy,Eastern Europe,Female,<1 year,Years,2002,72.80090729399377,72.82417227879044,72.7761277673665
Life expectancy,Eastern Europe,Both,<1 year,Years,2002,66.26466182960681,66.2813641476926,66.2467037907671
Life expectancy,Western Europe,Male,<1 year,Years,2002,76.09428993312508,76.11147643909393,76.07609163353376
Life expectancy,Western Europe,Female,<1 year,Years,2002,81.88568825792942,81.90512696048897,81.86582665582297
Life expectancy,Western Europe,Both,<1 year,Years,2002,79.05016750679712,79.06383784313569,79.03626288736808
Life expectancy,Central Europe,Male,<1 year,Years,2017,73.624610064122,73.91641132840924,73.33914853020201
